aula,resolucion,situacion,coleccion,codigo,asignatura,programa,notas_existentes,con_nota,de_systemactiva,editadas_a_mano,acta_cerrada,conflicto_con_oferta
188,OK,NUEVA,BBA Full ES,MAN 370,Supply Chain Management,Bachelor of Science in Business Administration,343,303,333,3,1,
189,OK,ya importaba,BBA Full ES,BUS 350,Public Administration,Bachelor of Science in Business Administration,350,222,344,1,0,
190,OK,NUEVA,BBA Full ES,PMB 270,Project Management,Bachelor of Science in Business Administration,589,505,474,113,0,
191,OK,NUEVA,BBA Full ES,BUS 250,Introduction to International Business,Bachelor of Science in Business Administration,16,10,16,0,0,
192,OK,NUEVA,BBA Full ES,ACC 300,Accounting for Decision Makers,Bachelor of Science in Business Administration,16,10,16,0,0,
193,OK,NUEVA,BBA Full ES,BUS 340,E-Business,Bachelor of Science in Business Administration,585,419,585,0,0,
194,OK,ya importaba,BBA Full ES,LED 381,Executive Leadership,Bachelor of Science in Business Administration,591,446,589,0,0,
195,OK,ya importaba,BBA Full ES,FIN 220,Finance,Bachelor of Science in Business Administration,16,12,15,1,1,
196,OK,ya importaba,BBA Full ES,STA 460,Advanced Statistics,Bachelor of Science in Business Administration,348,254,340,0,0,
197,OK,ya importaba,BBA Full ES,ENG 440,Professional Writing in Business,Bachelor of Science in Business Administration,339,217,335,0,0,
198,OK,NUEVA,BBA Full ES,BUS 410,Strategic Administration,Bachelor of Science in Business Administration,594,486,589,0,0,
199,OK,NUEVA,BBA Full ES,LED 380,Business Leadership,Bachelor of Science in Business Administration,0,0,0,0,0,
200,OK,NUEVA,BBA Full ES,TAX 300,Taxation,Bachelor of Science in Business Administration,584,409,580,0,0,
201,OK,NUEVA,BBA Full ES,BUS 430,Emerging Technologies,Bachelor of Science in Business Administration,346,274,268,34,0,
202,OK,NUEVA,BBA Full ES,BUS 400,Organizational Behavior,Bachelor of Science in Business Administration,12,10,12,0,0,
203,OK,NUEVA,BBA Full ES,FIN 390,Financial Planning,Bachelor of Science in Business Administration,12,7,12,0,0,
204,OK,NUEVA,BBA Full ES,MAR 420,International Marketing,Bachelor of Science in Business Administration,350,330,336,2,4,
205,OK,NUEVA,BBA Full ES,CAP 480,Capstone Project,Bachelor of Science in Business Administration,334,130,334,0,0,
206,OK,ya importaba,BAC Full ES,ACC 230,Principles of Accounting I,Bachelor of Arts in Accounting,3,1,3,0,0,
207,OK,ya importaba,BAC Full ES,CIS 109,Computer Science I,Bachelor of Arts in Accounting,3,0,3,0,0,
208,OK,ya importaba,BAC Full ES,ECO 207,Introduction to Economics,Bachelor of Arts in Accounting,3,0,3,0,0,
209,OK,ya importaba,BAC Full ES,PSY 106,General Psychology,Bachelor of Arts in Accounting,143,128,139,0,0,
210,OK,ya importaba,BAC Full ES,ALG 105,College Algebra I,Bachelor of Arts in Accounting,3,1,3,0,0,
211,OK,ya importaba,BAC Full ES,ECT 103,Ethics and Critical Thinking,Bachelor of Arts in Accounting,80,66,79,1,1,
212,OK,NUEVA,BAC Full ES,COM 205,Fundamentals of Oral Communication,Bachelor of Arts in Accounting,3,1,3,0,0,
213,OK,NUEVA,BAC Full ES,ENG 101,English Composition I,Bachelor of Arts in Accounting,132,100,132,0,0,
214,OK,NUEVA,BAC Full ES,BUS 201,Principles of Management,Bachelor of Arts in Accounting,77,68,77,0,0,
216,OK,ya importaba,BAC Full ES,ACC 310,Principles of Accounting II,Bachelor of Arts in Accounting,0,0,0,0,0,
217,OK,NUEVA,BAC Full ES,COB 210,Computers for Business,Bachelor of Arts in Accounting,0,0,0,0,0,
218,OK,NUEVA,BAC Full ES,MIC 108,Microeconomics,Bachelor of Arts in Accounting,138,124,100,21,0,
219,OK,NUEVA,BAC Full ES,SOC 204,Principles of Sociology,Bachelor of Arts in Accounting,134,91,131,2,0,
221,OK,NUEVA,BAC Full ES,ENG 202,English Composition II,Bachelor of Arts in Accounting,76,64,76,0,0,
222,OK,NUEVA,BAC Full ES,BUS 205,Business Entrepreneurship,Bachelor of Arts in Accounting,0,0,0,0,0,
223,OK,NUEVA,BAC Full ES,TAX 300,Taxation,Bachelor of Arts in Accounting,141,91,137,1,0,
224,OK,NUEVA,BAC Full ES,FIN 260,Principles of Financial Accounting,Bachelor of Arts in Accounting,0,0,0,0,0,
225,OK,NUEVA,BAC Full ES,ACC 350,Intermediate Financial Accounting I,Bachelor of Arts in Accounting,0,0,0,0,0,
226,OK,NUEVA,BAC Full ES,ACC 270,Accounting Information Systems,Bachelor of Arts in Accounting,0,0,0,0,0,
227,OK,NUEVA,BAC Full ES,STA 104,Statistical Methods,Bachelor of Arts in Accounting,0,0,0,0,0,
228,OK,NUEVA,BAC Full ES,FIN 320,Financial Mathematics,Bachelor of Arts in Accounting,0,0,0,0,0,
229,OK,NUEVA,BAC Full ES,BLA 230,Business Law,Bachelor of Arts in Accounting,0,0,0,0,0,
230,OK,NUEVA,BAC Full ES,ACC 300,Accounting for Decision Makers,Bachelor of Arts in Accounting,136,117,133,0,0,
231,OK,NUEVA,BAC Full ES,ACC 360,Cost Accounting and Analysis,Bachelor of Arts in Accounting,135,103,134,0,0,
232,OK,NUEVA,BAC Full ES,ACC 430,Accounting Analytics,Bachelor of Arts in Accounting,75,66,56,14,0,
233,OK,NUEVA,BAC Full ES,ACC 400,Intermediate Financial Accounting II,Bachelor of Arts in Accounting,0,0,0,0,0,
234,OK,NUEVA,BAC Full ES,ACC 385,Internal Auditing,Bachelor of Arts in Accounting,135,106,133,0,0,
235,OK,NUEVA,BAC Full ES,HRM 280,Human Resource Management,Bachelor of Arts in Accounting,135,90,134,0,0,
236,OK,NUEVA,BAC Full ES,FIN 245,Corporate Finance,Bachelor of Arts in Accounting,0,0,0,0,0,
237,OK,NUEVA,BAC Full ES,COM 450,Business and Professional Communication,Bachelor of Arts in Accounting,77,63,75,0,0,
238,OK,NUEVA,BAC Full ES,ACC 380,Advanced Issues in Financial Accounting,Bachelor of Arts in Accounting,0,0,0,0,0,
239,OK,NUEVA,BAC Full ES,ACC 420,International Accounting,Bachelor of Arts in Accounting,75,69,71,2,2,
240,OK,NUEVA,BAC Full ES,ACC 370,Financial Accounting for Governmental and Nonprofit Organizations,Bachelor of Arts in Accounting,73,50,73,0,0,
241,OK,NUEVA,BAC Full ES,ACC 440,Auditing,Bachelor of Arts in Accounting,0,0,0,0,0,
242,OK,NUEVA,BAC Full ES,LDM 205,Leadership Methods,Bachelor of Arts in Accounting,0,0,0,0,0,
243,OK,NUEVA,BAC Full ES,FIN 390,Financial Planning,Bachelor of Arts in Accounting,0,0,0,0,0,
244,OK,NUEVA,BAC Full ES,ACC 450,Accounting Capstone Project,Bachelor of Arts in Accounting,73,24,73,0,0,
245,OK,NUEVA,BAC Full ES,ENG 440,Professional Writing in Business,Bachelor of Arts in Accounting,76,44,76,0,0,
247,OK,ya importaba,MBA Full ES,MBA 502,Accounting for Decision-Making and Control,Master of Business Administration,131,103,128,0,1,
254,OK,ya importaba,MBA Full ES,MBA 601,International Business,Master of Business Administration,132,100,131,0,0,
266,OK,ya importaba,MHMG Full ES,HMG 603,Tourism Development,Master of Science in Hospitality Management,25,14,25,0,0,
267,OK,ya importaba,MHMG Full ES,HMG 503,Strategic Human Resources in Hospitality and Tourism,Master of Science in Hospitality Management,25,16,23,2,0,
268,OK,ya importaba,MHMG Full ES,HMG 602,Digital Marketing and Big Data Management for Hospitality and Tourism,Master of Science in Hospitality Management,25,14,25,0,0,
270,OK,ya importaba,MHMG Full ES,HMG 604,International Tourism Management,Master of Science in Hospitality Management,25,16,25,0,0,
271,OK,ya importaba,MHMG Full ES,HMG 605,Revenue Management for Hospitality and Tourism,Master of Science in Hospitality Management,24,17,24,0,0,
272,OK,NUEVA,MHMG Full ES,HMG 700,Hospitality Management Capstone,Master of Science in Hospitality Management,25,10,25,0,0,
273,OK,NUEVA,MHCM Full ES,HCM 700,Healthcare Management Capstone,Master of Science in Healthcare Management,97,54,97,3,0,
277,OK,ya importaba,MHCM Full ES,HCM 601,Healthcare Management for Executives,Master of Science in Healthcare Management,96,64,96,2,0,
289,OK,NUEVA,MBA Full ES,MBA 700,Business Administration Capstone,Master of Business Administration,135,70,135,0,0,
292,OK,ya importaba,BAC Upgrade ES,PSY 106,General Psychology,Bachelor of Arts in Accounting,143,128,139,0,0,
298,OK,ya importaba,MBA Full ES,MBA 503,Marketing for Executives,Master of Business Administration,132,108,130,0,2,
299,OK,ya importaba,BAC Upgrade ES,SOC 204,Principles of Sociology,Bachelor of Arts in Accounting,134,91,131,2,0,
300,OK,ya importaba,BAC Upgrade ES,TAX 300,Taxation,Bachelor of Arts in Accounting,141,91,137,1,0,
304,OK,ya importaba,BBA Upgrade ES,BUS 340,E-Business,Bachelor of Science in Business Administration,585,419,585,0,0,
305,OK,ya importaba,MBA Full ES,MBA 600,Managerial Economics,Master of Business Administration,132,105,130,0,0,
307,OK,ya importaba,BBA Upgrade ES,LED 381,Executive Leadership,Bachelor of Science in Business Administration,591,446,589,0,0,
309,OK,ya importaba,BAC Upgrade ES,HRM 280,Human Resource Management,Bachelor of Arts in Accounting,135,90,134,0,0,
311,OK,ya importaba,MBA Full ES,MBA 504,Leadership and Organizational Behavior,Master of Business Administration,134,110,130,1,1,
314,OK,ya importaba,MHCM Full ES,HCM605,Entrepreneurship in Healthcare Management,Master of Science in Healthcare Management,97,67,93,6,0,
316,OK,ya importaba,BBA Full ES,PSY 106,General Psychology,Bachelor of Science in Business Administration,601,548,597,0,1,
318,OK,ya importaba,MBA Full ES,MBA 602,Quantitative and Qualitative Methods for Decision-Making,Master of Business Administration,132,112,129,1,2,
319,OK,ya importaba,MHMG Full ES,HMG 600,Hospitality and Tourism Information Technology,Master of Science in Hospitality Management,26,19,26,0,0,
324,OK,ya importaba,BBA Upgrade ES,MAR 240,Marketing,Bachelor of Science in Business Administration,624,510,617,2,0,
325,OK,ya importaba,MBA Full ES,MBA 501,Business Law and Ethics,Master of Business Administration,135,114,133,1,0,
326,OK,ya importaba,BAC Upgrade ES,ACC 360,Cost Accounting and Analysis,Bachelor of Arts in Accounting,135,103,134,0,0,
327,OK,ya importaba,MHCM Full ES,HCM 504,Quality Improvement Using Health Informatics,Master of Science in Healthcare Management,96,69,96,2,0,
328,OK,ya importaba,BBA Full ES,MAR 240,Marketing,Bachelor of Science in Business Administration,624,510,617,2,0,
330,OK,ya importaba,BBA Full ES,ECT 103,Ethics and Critical Thinking,Bachelor of Science in Business Administration,363,308,351,3,1,
331,OK,ya importaba,BBA Upgrade ES,BUS 410,Strategic Administration,Bachelor of Science in Business Administration,594,486,589,0,0,
332,OK,ya importaba,BAC Upgrade ES,ACC 385,Internal Auditing,Bachelor of Arts in Accounting,135,106,133,0,0,
333,OK,ya importaba,MBA Full ES,MBA 500,Business in the Global Economy,Master of Business Administration,134,120,130,0,2,
334,OK,ya importaba,MHCM Full ES,HCM 500,Healthcare Systems,Master of Science in Healthcare Management,97,69,97,2,0,
337,OK,ya importaba,MBA Full ES,MBA 603,Supply Chain Management,Master of Business Administration,137,113,112,25,12,
338,OK,ya importaba,MHCM Full ES,HCM 502,Healthcare Policy Analysis,Master of Science in Healthcare Management,96,72,96,3,0,
339,OK,ya importaba,BBA Full ES,MIC 108,Microeconomics,Bachelor of Science in Business Administration,37,33,36,1,0,
340,OK,ya importaba,BBA Upgrade ES,MIS 470,Management Information System,Bachelor of Science in Business Administration,589,486,589,0,0,
343,OK,ya importaba,BAC Upgrade ES,ARH 203,Latin American Art History,Bachelor of Arts in Accounting,138,107,135,0,0,
345,OK,ya importaba,MBA Full ES,MBA 604,Information and Technology Management,Master of Business Administration,133,99,120,11,0,
346,OK,ya importaba,MHCM Full ES,HCM 501,Organization Theory and Behavior in Healthcare,Master of Science in Healthcare Management,97,75,97,3,0,
347,OK,ya importaba,BBA Full ES,STA 104,Statistical Methods,Bachelor of Science in Business Administration,30,25,30,0,0,
348,OK,ya importaba,BBA Upgrade ES,MAR 330,Sales Management,Bachelor of Science in Business Administration,599,527,591,2,0,
349,OK,ya importaba,BAC Upgrade ES,ACC 300,Accounting for Decision Makers,Bachelor of Arts in Accounting,136,117,133,0,0,
350,OK,ya importaba,MBA Full ES,MBA 605,Financial Decision-Making,Master of Business Administration,133,88,130,2,0,
351,OK,ya importaba,MHMG Full ES,HMG 601,Hospitality Entrepreneurship,Master of Science in Hospitality Management,25,23,25,0,0,
352,OK,ya importaba,MHCM Full ES,HCM 503,Healthcare Quality Assessment and Improvement,Master of Science in Healthcare Management,97,76,97,3,0,
355,OK,ya importaba,MBA Full ES,MBA 606,Human Resources Management,Master of Business Administration,134,90,133,0,0,
356,OK,ya importaba,MHMG Full ES,HMG 504,Law and Ethics in Hospitality and Tourism,Master of Science in Hospitality Management,25,22,25,0,0,
357,OK,ya importaba,MHCM Full ES,HCM 600,Strategic Management of Healthcare Organizations,Master of Science in Healthcare Management,97,84,96,2,0,
359,OK,ya importaba,BBA Full ES,ALG 105,College Algebra I,Bachelor of Science in Business Administration,31,28,30,0,0,
362,OK,NUEVA,,PSY 106,General Psychology,Bachelor of Science in Business Administration,601,548,597,0,1,
363,OK,ya importaba,BBA Upgrade ES,ECT 103,Ethics and Critical Thinking,Bachelor of Science in Business Administration,363,308,351,3,1,
364,OK,ya importaba,BAC Upgrade ES,ECT 103,Ethics and Critical Thinking,Bachelor of Arts in Accounting,80,66,79,1,1,
365,OK,NUEVA,MBA EOBS ES,MBA 601,International Business,Master of Business Administration,132,100,131,0,0,
366,OK,ya importaba,MBA Full ES,MBA 607,Advanced Project Management,Master of Business Administration,133,88,132,0,0,
367,OK,ya importaba,MHMG Full ES,HMG 500,Managing Service Quality in Hospitality and Tourism,Master of Science in Hospitality Management,25,23,25,0,0,
368,OK,ya importaba,MHCM Full ES,HCM 602,Legal and Ethical Issues in Healthcare,Master of Science in Healthcare Management,97,83,97,3,0,
370,OK,ya importaba,BBA Full ES,COM 102,Interpersonal Communication,Bachelor of Science in Business Administration,31,26,30,1,0,
371,OK,ya importaba,BAC Upgrade ES,ACC 420,International Accounting,Bachelor of Arts in Accounting,75,69,71,2,2,
372,OK,ya importaba,DCEA LLD,101,Didactics and Evaluation of Writing,Language and Literature Didactics,32,30,2,30,26,
373,OK,ya importaba,DCEA LLD,102,Didactics and Evaluation of Reading,Language and Literature Didactics,32,25,7,25,23,
374,OK,ya importaba,DCEA LLD,103,Didactics and Evaluation of Literary Reading,Language and Literature Didactics,32,24,8,24,21,
375,OK,ya importaba,DCEA LLD,104,Didactics and Evaluation of Oral Communication,Language and Literature Didactics,32,20,12,20,19,
376,OK,ya importaba,DCEA HSE,101,"Curriculum Development, Program Design and Evaluation",Health Sciences Education,33,19,16,17,13,
377,OK,ya importaba,DCEA HSE,102,Class Preparation,Health Sciences Education,33,15,20,13,13,
378,OK,ya importaba,DCEA HSE,103,Teaching in Health Sciences,Health Sciences Education,33,15,20,13,13,
379,OK,ya importaba,DCEA HSE,104,Learning Assessment in Health Sciences,Health Sciences Education,33,15,20,13,13,
381,OK,ya importaba,DCEA ABA,102,Applied Behavior Analysis (ABA) Evaluation in Autism Spectrum Disorder,Applied Behavior Analysis (ABA) Assessment and Intervention in Autistic Spectrum Disorder,108,63,51,57,52,
382,OK,ya importaba,DCEA ABA,103,Applied Behavior Analysis (ABA) Intervention in Autism Spectrum Disorder,Applied Behavior Analysis (ABA) Assessment and Intervention in Autistic Spectrum Disorder,109,60,55,54,44,
383,OK,ya importaba,DCEA ABA,104,Supports Throughout the Life of Individuals with High-Functioning Autism,Applied Behavior Analysis (ABA) Assessment and Intervention in Autistic Spectrum Disorder,109,53,62,47,6,
384,OK,NUEVA,DCEA PDN,101,Nursing Interventions in Growth and Development,Pediatric Nursing,3,0,3,0,0,
385,OK,NUEVA,DCEA PDN,102,Nursing Interventions in the Most Common Pediatric Conditions,Pediatric Nursing,3,0,3,0,0,
386,OK,NUEVA,DCEA PDN,103,Nutrition in Preschool and School-Aged Children,Pediatric Nursing,3,0,3,0,0,
387,OK,NUEVA,DCEA PDN,104,Medical and Surgical Emergencies in Pediatrics,Pediatric Nursing,3,0,3,0,0,
388,OK,ya importaba,DCEA CPS,101,Theories and Techniques of Psychotherapy,Clinical Psychology,23,17,16,8,5,
389,OK,ya importaba,DCEA CPS,102,Psychotherapeutic Instruments,Clinical Psychology,23,14,19,4,4,SÍ — la oferta apuntaba a otra asignatura
390,OK,ya importaba,DCEA CPS,103,Psychological First Aid,Clinical Psychology,23,13,20,3,3,SÍ — la oferta apuntaba a otra asignatura
391,OK,ya importaba,DCEA CPS,104,Psychological Treatment,Clinical Psychology,23,15,18,5,5,SÍ — la oferta apuntaba a otra asignatura
392,OK,ya importaba,DCEA SAW,101,Information Sources and Bibliographic Managers,Scientific Article Writing,76,52,27,49,37,
393,OK,ya importaba,DCEA SAW,102,Development of Theoretical and Conceptual Frameworks,Scientific Article Writing,76,41,38,38,36,
394,OK,ya importaba,DCEA SAW,103,Academic and Scientific Writing,Scientific Article Writing,76,37,42,34,30,
395,OK,ya importaba,DCEA SAW,104,Publication of Scientific Articles,Scientific Article Writing,75,33,45,30,29,
397,OK,NUEVA,DCEA NFH,102,"Nutrients, Hydration, and Ergogenic Aids in Exercise",Nutrition and Food for Health and Sports Performance,38,6,38,1,0,
398,OK,NUEVA,DCEA NFH,103,Nutritional Planning Applied to Physical Exercise,Nutrition and Food for Health and Sports Performance,38,6,38,1,0,
399,OK,NUEVA,DCEA NFH,104,Specialized Sports Nutrition,Nutrition and Food for Health and Sports Performance,38,6,38,1,0,
400,OK,NUEVA,DCEA MHP ES,101,Psychopathological Alterations in Patients,Mental Health and Psychiatry,2,0,2,0,0,
401,OK,NUEVA,DCEA MHP ES,102,Mental Disorders: Care Plans,Mental Health and Psychiatry,2,0,2,0,0,
402,OK,NUEVA,DCEA MHP ES,103,Psychiatric Treatments,Mental Health and Psychiatry,2,0,2,0,0,
403,OK,NUEVA,DCEA MHP ES,104,Psychiatric Emergencies,Mental Health and Psychiatry,2,0,2,0,0,
404,OK,ya importaba,DCEA NCD,101,Comprehensive Management of Arterial Hypertension,Nursing in Cardiology,7,6,2,5,5,
405,OK,ya importaba,DCEA NCD,102,Nursing in Coronary Artery Disease Management,Nursing in Cardiology,7,5,3,4,1,
406,OK,ya importaba,DCEA NCD,103,Nursing in Heart Failure Management,Nursing in Cardiology,7,3,5,2,0,
407,OK,ya importaba,DCEA NCD,104,Prevention and Control of Cardiovascular Risk Factors,Nursing in Cardiology,7,2,6,1,1,
408,OK,ya importaba,BBA Upgrade ES,MAN 370,Supply Chain Management,Bachelor of Science in Business Administration,343,303,333,3,1,
409,OK,NUEVA,DCEA RTD,101,Problem Identification,Research Thesis Development,5,0,5,0,0,
410,OK,NUEVA,DCEA RTD,102,Building the Theoretical Framework,Research Thesis Development,5,0,5,0,0,
411,OK,NUEVA,DCEA RTD,103,Design of the Methodological Framework,Research Thesis Development,5,0,5,0,0,
412,OK,NUEVA,DCEA RTD,104,Research Development and Results,Research Thesis Development,5,0,5,0,0,
413,OK,ya importaba,DCEA DMK,104,Digital Marketing Plan,Digital Marketing,3,2,1,2,2,
414,OK,ya importaba,DCEA DMK,101,Inbound Marketing,Digital Marketing,3,2,1,2,2,
415,OK,ya importaba,DCEA DMK,102,Workshop: Applying SEO and SEM,Digital Marketing,3,2,1,2,2,
416,OK,ya importaba,DCEA DMK,103,Workshop: Metrics and Digital Analytics,Digital Marketing,3,2,1,2,2,
417,OK,NUEVA,DCEA RPD,103,Quantitative Research Methods,Research Project Development,7,0,7,0,0,
418,OK,NUEVA,DCEA RPD,101,The Scientific Method and Proposal Formulation,Research Project Development,7,0,7,0,0,
419,OK,NUEVA,DCEA RPD,104,Preparation of Research Reports,Research Project Development,7,0,7,0,0,
420,OK,NUEVA,DCEA RPD,102,Qualitative Research Methods,Research Project Development,7,0,7,0,0,
421,OK,ya importaba,DCEA BMG,101,Starting a Business,Business Management,0,0,0,0,0,
422,OK,ya importaba,DCEA BMG,102,Business Growth,Business Management,0,0,0,0,0,
423,OK,ya importaba,DCEA BMG,103,Business Peak,Business Management,0,0,0,0,0,
424,OK,ya importaba,DCEA BMG,104,Crisis Management in Business,Business Management,0,0,0,0,0,
425,OK,ya importaba,DCEA CSD,101,Cyber Defense and Cyber Intelligence,Cybersecurity and Cyber Defense,8,8,0,8,6,
426,OK,ya importaba,DCEA CSD,104,Analysis of Digital Vulnerabilities,Cybersecurity and Cyber Defense,8,4,4,4,4,
427,OK,ya importaba,DCEA CSD,103,Managing a Cybersecurity Response Center,Cybersecurity and Cyber Defense,8,5,3,5,4,
428,OK,ya importaba,DCEA CSD,102,International Law in Cyberspace,Cybersecurity and Cyber Defense,8,6,2,6,5,
429,OK,NUEVA,DCEA SWG,101,Gender-based Violence as a Social Phenomenon,Social Work in Gender Violence,1,0,1,0,0,
430,OK,NUEVA,DCEA SWG,102,Promotion of Gender Equality in Social Intervention,Social Work in Gender Violence,1,0,1,0,0,
431,OK,NUEVA,DCEA SWG,103,Strategies for Social Intervention in Gender-based Violence,Social Work in Gender Violence,1,0,1,0,0,
432,OK,NUEVA,DCEA SWG,104,Strategies for Social Intervention with the Community,Social Work in Gender Violence,1,0,1,0,0,
433,OK,ya importaba,MBA Full ES,MBA 608,Entrepreneurial Leadership,Master of Business Administration,132,94,132,0,0,
434,OK,ya importaba,MHCM Full ES,HCM 603,Hospital Management,Master of Science in Healthcare Management,98,85,97,2,1,
435,OK,ya importaba,MHMG Full ES,HMG 501,Strategic Marketing in Hospitality,Master of Science in Hospitality Management,25,23,25,0,0,
437,OK,ya importaba,DCEA ABA,101,Early Detection and Diagnostic Process in Autism Spectrum Disorder,Applied Behavior Analysis (ABA) Assessment and Intervention in Autistic Spectrum Disorder,108,86,28,80,59,
438,OK,NUEVA,DCEA NFH,101,Nutrition for Health and Nutritional Assessment,Nutrition and Food for Health and Sports Performance,38,6,38,1,0,
439,OK,ya importaba,BBA Full ES,ACC 210,Principles of Managerial Accounting,Bachelor of Science in Business Administration,32,24,32,0,0,
442,OK,ya importaba,BBA Upgrade ES,MAR 420,International Marketing,Bachelor of Science in Business Administration,350,330,336,2,4,
443,OK,NUEVA,BAC Upgrade ES,BUS 201,Principles of Management,Bachelor of Arts in Accounting,77,68,77,0,0,
444,OK,ya importaba,MHCM Full ES,HCM 604,Health Crisis Management,Master of Science in Healthcare Management,97,77,84,14,7,
445,OK,ya importaba,MHMG Full ES,HMG 502, Organizational Behavior in the Hospitality Industry,Master of Science in Hospitality Management,26,24,18,8,6,
446,OK,NUEVA,DCEU OMG,102,Operations Management,Operations Management,5,0,5,0,0,
447,OK,NUEVA,DCEU OMG,101,Innovation Management,Operations Management,5,0,5,0,0,
448,OK,NUEVA,DCEU OMG,103,Process Management,Operations Management,5,0,5,0,0,
449,OK,NUEVA,DCEU PMG,102,Project Execution,Project Management,2,0,2,0,0,
450,OK,NUEVA,DCEU PMG,101,Project Initiation and Planning,Project Management,2,0,2,0,0,
451,OK,NUEVA,DCEU PMG,103,Project Monitoring and Closure,Project Management,2,0,2,0,0,
452,OK,NUEVA,DCEU IMG,103,Technology Management,Innovation Management,0,0,0,0,0,
453,OK,NUEVA,DCEU IMG,101,Strategic Management,Innovation Management,0,0,0,0,0,
454,OK,NUEVA,DCEU IMG,102,Innovation Management,Innovation Management,0,0,0,0,0,
456,OK,NUEVA,BBA CVC ES,PSY 106,General Psychology,Bachelor of Science in Business Administration,601,548,597,0,1,
457,OK,NUEVA,BBA CVC ES,TAX 300,Taxation,Bachelor of Science in Business Administration,584,409,580,0,0,
458,OK,NUEVA,BBA CVC ES,LED 381,Executive Leadership,Bachelor of Science in Business Administration,591,446,589,0,0,
460,OK,NUEVA,DCEU CMG,101,Financial Management,Management Control,1,0,1,0,0,
461,OK,NUEVA,DCEU CFN,102,Financial Evaluation,Corporate Finance,2,0,2,0,0,
462,OK,NUEVA,DCEU CFN,103,Financial Assets,Corporate Finance,2,0,2,0,0,
463,OK,NUEVA,DCEU CFN,101,Financial Management,Corporate Finance,2,0,2,0,0,
464,OK,NUEVA,DCEU FMG,101,Financial Management,Financial Management,3,0,3,0,0,
465,OK,NUEVA,DCEU FMG,102,Financial Planning and Strategy,Financial Management,3,0,3,0,0,
466,OK,NUEVA,DCEU FMG,103,Financial Tools,Financial Management,3,0,3,0,0,
467,OK,NUEVA,DCEU PMG,103,Organizational Behavior,People Management,0,0,0,0,0,
468,OK,NUEVA,DCEU PMG,102,Managerial Skills,People Management,0,0,0,0,0,
469,OK,NUEVA,DCEU PMG,101,Teamwork and Leadership,People Management,0,0,0,0,0,
470,OK,NUEVA,DCEU DMK,101,Digital Marketing,Digital Marketing,3,0,3,0,0,
471,OK,NUEVA,DCEU DMK,102,Digital Business,Digital Marketing,3,0,3,0,0,
472,OK,NUEVA,DCEU DMK,103,Social Media Marketing,Digital Marketing,3,0,3,0,0,
473,OK,NUEVA,DCEU MKMG,101,Marketing Management,Marketing Management,0,0,0,0,0,
474,OK,NUEVA,DCEU MKMG,102,Digital Marketing,Marketing Management,0,0,0,0,0,
475,OK,NUEVA,DCEU MKMG,103,Positive Marketing,Marketing Management,0,0,0,0,0,
476,OK,NUEVA,DCEU CPT,101,Corporate Communication,Communication and Persuasion Techniques,24,2,24,1,0,
477,OK,NUEVA,DCEU CPT,102,Negotiation and Persuasion,Communication and Persuasion Techniques,24,2,24,1,0,
478,OK,NUEVA,DCEU CPT,103,Persuasion and Emotions,Communication and Persuasion Techniques,24,2,24,1,0,
479,OK,NUEVA,DCEU PSL,103,Change Management,Professional Skills and Leadership,2,0,2,0,0,
480,OK,NUEVA,DCEU PSL,101,Managerial Skills,Professional Skills and Leadership,2,0,2,0,0,
481,OK,NUEVA,DCEU PSL,102,Leadership and Teamwork,Professional Skills and Leadership,2,0,2,0,0,
482,OK,NUEVA,DCEU CEI,102,Fundamentals and Tools of NLP (Neuro-Linguistic Programming),"Coaching, PNL and Emotional Intelligence",31,1,31,0,0,
483,OK,NUEVA,DCEU CEI,103,Emotional Intelligence,"Coaching, PNL and Emotional Intelligence",31,0,31,0,0,
484,OK,NUEVA,DCEU CEI,101,Introduction to Coaching,"Coaching, PNL and Emotional Intelligence",31,1,31,0,0,
485,OK,NUEVA,DCEU AGM,102,Design Thinking,Agile Methodologies,2,0,2,0,0,
486,OK,NUEVA,DCEU AGM,103,Lean Strategy,Agile Methodologies,2,0,2,0,0,
487,OK,NUEVA,DCEU AGM,101,Agile Methodologies,Agile Methodologies,2,0,2,0,0,
488,OK,NUEVA,MBA EOBS ES,MBA 604,Information and Technology Management,Master of Business Administration,133,99,120,11,0,
489,OK,NUEVA,MBA EOBS ES,MBA 607,Advanced Project Management,Master of Business Administration,133,88,132,0,0,
490,OK,NUEVA,MBA EOBS ES,MBA 700,Business Administration Capstone,Master of Business Administration,135,70,135,0,0,
491,OK,NUEVA,MBA EOBS ES,MBA 502,Accounting for Decision-Making and Control,Master of Business Administration,131,103,128,0,1,
492,OK,NUEVA,MBA EOBS ES,MBA 503,Marketing for Executives,Master of Business Administration,132,108,130,0,2,
493,OK,NUEVA,MBA EOBS ES,MBA 600,Managerial Economics,Master of Business Administration,132,105,130,0,0,
494,OK,NUEVA,MBA EOBS ES,MBA 504,Leadership and Organizational Behavior,Master of Business Administration,134,110,130,1,1,
495,OK,NUEVA,MBA EOBS ES,MBA 602,Quantitative and Qualitative Methods for Decision-Making,Master of Business Administration,132,112,129,1,2,
496,OK,NUEVA,MBA EOBS ES,MBA 501,Business Law and Ethics,Master of Business Administration,135,114,133,1,0,
497,OK,NUEVA,MBA EOBS ES,MBA 500,Business in the Global Economy,Master of Business Administration,134,120,130,0,2,
498,OK,NUEVA,MBA EOBS ES,MBA 603,Supply Chain Management,Master of Business Administration,137,113,112,25,12,
