aula,resolucion,situacion,coleccion,codigo,asignatura,programa,notas_existentes,con_nota,de_systemactiva,editadas_a_mano,acta_cerrada,conflicto_con_oferta
749,OK,NUEVA,MPRO Full EN,PRO 503,Finance for Project Managers,Master of Science in Project Management,12,7,11,0,0,
750,OK,NUEVA,MPRO Full EN,PRO 504,Human Resources Management in Projects,Master of Science in Project Management,12,8,11,0,0,
751,OK,NUEVA,MPRO Full EN,PRO 600,Information Technologies in Project Management,Master of Science in Project Management,12,10,11,0,0,
752,OK,NUEVA,MPRO Full EN,PRO 602,Ethics and Social Responsibility in Projects,Master of Science in Project Management,12,8,11,0,0,
753,OK,NUEVA,MPRO Full EN,PRO 603,Innovation and Project Development,Master of Science in Project Management,12,10,11,0,0,
754,OK,NUEVA,MPRO Full EN,PRO 604,Project Evaluation and Metrics,Master of Science in Project Management,12,10,11,0,0,
760,OK,NUEVA,DCEA NFH,105,Nutrition and Obesity: Weight Control,Nutrition and Food for Health and Sports Performance,38,6,38,1,0,
762,OK,NUEVA,DCET UNDC Turismo,101,Territorial Diagnosis of Public Investment Projects in Tourism,Territorial Diagnosis of Public Investment Projects in Tourism,18,0,18,0,0,
763,OK,NUEVA,MERE Full EN,ERE 700,Capstone Project,Master of Science in Renewable Energy and Sustainability Systems,15,6,15,0,0,
764,OK,NUEVA,MERE Full EN,ERE 605,Innovation in Renewable Energy,Master of Science in Renewable Energy and Sustainability Systems,15,15,15,0,0,
765,OK,NUEVA,MERE Full EN,ERE 604,Renewable Energy Projects,Master of Science in Renewable Energy and Sustainability Systems,15,15,15,0,0,
766,OK,NUEVA,MERE Full EN,ERE 603,Renewable Energy Grid Integration,Master of Science in Renewable Energy and Sustainability Systems,15,13,14,1,1,
767,OK,NUEVA,MERE Full EN,ERE 602,Exploration of Geothermal Energy,Master of Science in Renewable Energy and Sustainability Systems,15,13,15,0,0,
768,OK,NUEVA,MERE Full EN,ERE 601,Biomass and Sustainable Bioenergy,Master of Science in Renewable Energy and Sustainability Systems,15,11,15,0,0,
769,OK,NUEVA,MERE Full EN,ERE 600,Energy Economics and Markets,Master of Science in Renewable Energy and Sustainability Systems,15,9,15,0,0,
770,OK,NUEVA,MERE Full EN,ERE 504,Energy Policies and Sustainability,Master of Science in Renewable Energy and Sustainability Systems,15,8,15,0,0,
771,OK,NUEVA,MERE Full EN,ERE 503,Energy Efficiency Optimization,Master of Science in Renewable Energy and Sustainability Systems,3,3,0,0,0,
772,OK,NUEVA,MERE Full EN,ERE 502,Energy Storage,Master of Science in Renewable Energy and Sustainability Systems,15,9,13,2,0,
773,OK,NUEVA,MERE Full EN,ERE 501,Wind Energy Systems,Master of Science in Renewable Energy and Sustainability Systems,15,11,9,6,4,
774,OK,NUEVA,MERE Full EN,ERE 500,Photovoltaic Solar Energy Technologies,Master of Science in Renewable Energy and Sustainability Systems,15,13,15,0,0,
786,OK,NUEVA,MAIS Full EN,AIS 700,Capstone Project in Artificial Intelligence,Master of Science in Artificial Intelligence,58,8,55,0,0,
787,OK,NUEVA,MAIS Full EN,AIS 605,Development of Artificial Intelligence Applications,Master of Science in Artificial Intelligence,58,50,55,0,0,
788,OK,NUEVA,MAIS Full EN,AIS 604,Business Applications of Artificial Intelligence,Master of Science in Artificial Intelligence,58,45,55,0,0,
789,OK,NUEVA,MAIS Full EN,AIS 603,Ethics in Artificial Intelligence,Master of Science in Artificial Intelligence,58,36,53,2,0,
790,OK,NUEVA,MAIS Full EN,AIS 602,Reinforced Learning,Master of Science in Artificial Intelligence,58,38,55,0,0,
791,OK,NUEVA,MAIS Full EN,AIS 601,Advanced Signal Processing,Master of Science in Artificial Intelligence,58,29,55,0,0,
792,OK,NUEVA,MAIS Full EN,AIS 600,Intelligent Robotics,Master of Science in Artificial Intelligence,58,21,55,0,0,
793,OK,NUEVA,MAIS Full EN,AIS 504,Neural Networks and Deep Learning,Master of Science in Artificial Intelligence,58,23,55,0,0,
794,OK,NUEVA,MAIS Full EN,AIS 503,Computer Vision,Master of Science in Artificial Intelligence,58,12,55,0,0,
795,OK,NUEVA,MAIS Full EN,AIS 502,Natural Language Processing (NLP),Master of Science in Artificial Intelligence,58,28,38,17,0,
796,OK,NUEVA,MAIS Full EN,AIS 501,Machine Learning,Master of Science in Artificial Intelligence,58,41,20,35,30,
797,OK,NUEVA,MAIS Full EN,AIS 500,Human-AI Interaction,Master of Science in Artificial Intelligence,58,51,55,0,0,
801,OK,ya importaba,BAC Full ES,ARH 203,Latin American Art History,Bachelor of Arts in Accounting,138,107,135,0,0,
